#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                   keystream.bin|  5.28e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.51336081|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.12612091|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.21384553|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.56769149|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.67171414|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.94044528|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.43320303|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.30670746|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.56283411|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.38927903|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.97632923|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.72789662|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.96604710|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.18659108|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.25607084|  PASSED  
             dab_dct| 256|     50000|       1|0.84161885|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.70171903|  PASSED  
        dab_filltree|  32|  15000000|       1|0.89568453|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.63229897|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.99918205|   WEAK   
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.68397898|  PASSED  
